latent_0_drug1,latent_1_drug1,latent_2_drug1,latent_3_drug1,latent_4_drug1,latent_0_drug2,latent_1_drug2,latent_2_drug2,latent_3_drug2,latent_4_drug2,drug1_target_count,drug2_target_count,proteins_in_LCC,oc_drug1_drug2,oc_dis_drug1,oc_dis_drug2,ji_drug1_drug2,ji_dis_drug1,ji_dis_drug2,min_spl_dis_dru1,Closest_distance_dis_dru1,Dc_mean_dis_dru1,Dc_std_dis_dru1,Dc_zscore_dis_dru1,min_spl_dis_dru2,Closest_distance_dis_dru2,Dc_mean_dis_dru2,Dc_std_dis_dru2,Dc_zscore_dis_dru2,min_spl_dru1_dru2,obs_sep_dru1_dru2,sep_mean_dru1_dru2,sep_std_dru1_dru2,zscore_dru1_dru2,ratio_links_dis_dru1,ratio_links_dis_dru2,synergy_zip,synergy_loewe,synergy_hsa,synergy_bliss,row_id
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,0.6187276001820594,2.4246001833736806,2.8707056970834683,0.86354136,-1.2017273,1,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0443333333333336,0.1761662724688115,-0.2516561922554292,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0512423491693383,2.11244225223227,-1.46333811548428,3.05847081279643,2.24830115595407,0
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,0.6187276001820594,2.4246001833736806,2.8707056970834683,0.86354136,-1.2017273,1,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0443333333333336,0.1761662724688115,-0.2516561922554292,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0512423491693383,2.78000413050101,0.134036884515722,4.65584581279643,3.84567615595407,1
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,0.6187276001820594,2.4246001833736806,2.8707056970834683,0.86354136,-1.2017273,1,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0443333333333336,0.1761662724688115,-0.2516561922554292,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0512423491693383,3.44282858789623,0.65747438451572,5.17928331279643,4.36911365595406,2
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,0.6187276001820594,2.4246001833736806,2.8707056970834683,0.86354136,-1.2017273,1,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0443333333333336,0.1761662724688115,-0.2516561922554292,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0512423491693383,2.7094329273282,-0.225963115484278,4.29584581279643,3.48567615595407,3
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,-0.4161038363060825,-0.003761085861173043,-0.22427450222931963,0.114251636,0.12668216,1,10,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0089,0.0938658084714556,-0.094816207785675,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0565339519446635,-0.328968727078836,5.71872460938834,8.31294722529341,-1.32292393866401,4
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,-0.4161038363060825,-0.003761085861173043,-0.22427450222931963,0.114251636,0.12668216,1,10,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0089,0.0938658084714556,-0.094816207785675,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0565339519446635,3.18037369992023,10.1365996093883,12.7308222252934,3.09495106133599,5
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,-0.4161038363060825,-0.003761085861173043,-0.22427450222931963,0.114251636,0.12668216,1,10,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0089,0.0938658084714556,-0.094816207785675,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0565339519446635,3.39593025089944,10.1444746093883,12.7386972252934,3.10282606133599,6
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,-0.4161038363060825,-0.003761085861173043,-0.22427450222931963,0.114251636,0.12668216,1,10,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0089,0.0938658084714556,-0.094816207785675,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0565339519446635,3.69307384855661,10.2889746093883,12.8831972252934,3.24732606133599,7
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,-0.37752206484632606,0.11669174692781914,-0.35765911784716276,0.08374546,0.038711086,1,2,238.0,0.0,0.0,1.0,0.0,0.0,0.0084033613445378,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,0.0,0.0,1.297,0.2771118907589496,-4.680419871005164,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0938018242122719,5.58744424119803,7.53403032545108,11.7186164261594,7.19910915547266,8
-0.10553401740647815,0.2640751572261307,-0.3286940827677797,-0.294371875010497,0.1342749207027766,-0.37752206484632606,0.11669174692781914,-0.35765911784716276,0.08374546,0.038711086,1,2,238.0,0.0,0.0,1.0,0.0,0.0,0.0084033613445378,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,0.0,0.0,1.297,0.2771118907589496,-4.680419871005164,2.0,0.0,0.0,0.4946986031104712,5.92288469320235,0.0,0.0938018242122719,10.8587464017043,9.53321782545109,13.7178039261594,9.19829665547267,9
