dname_drug1,chembl_id_drug1,dname_drug2,chembl_id_drug2,cell_line_name,NCI_thesaurus_code,disease_cui
Lapatinib,CHEMBL554,MK-2206,CHEMBL1079175,HT29,C4349,C0338106
Lapatinib,CHEMBL554,MK-2206,CHEMBL1079175,HT29,C4349,C0338106
Lapatinib,CHEMBL554,MK-2206,CHEMBL1079175,HT29,C4349,C0338106
MK-2206,CHEMBL1079175,Erlotinib,CHEMBL553,HT29,C4349,C0338106
MK-2206,CHEMBL1079175,Erlotinib,CHEMBL553,HT29,C4349,C0338106
MK-2206,CHEMBL1079175,Erlotinib,CHEMBL553,HT29,C4349,C0338106
MK-2206,CHEMBL1079175,Erlotinib,CHEMBL553,HT29,C4349,C0338106
Sunitinib,CHEMBL535,MK-2206,CHEMBL1079175,HT29,C4349,C0338106
Sunitinib,CHEMBL535,MK-2206,CHEMBL1079175,HT29,C4349,C0338106
Sunitinib,CHEMBL535,MK-2206,CHEMBL1079175,HT29,C4349,C0338106
Sunitinib,CHEMBL535,MK-2206,CHEMBL1079175,HT29,C4349,C0338106
Lapatinib,CHEMBL554,methoxsalen,CHEMBL416,HT29,C4349,C0338106
ifosfamide,CHEMBL1024,IMIQUIMOD,CHEMBL1282,MCF7,C4194,C1134719
hydroxyurea,CHEMBL467,Nilotinib,CHEMBL255863,HT29,C4349,C0338106
Romidepsin,CHEMBL343448,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
anastrozole,CHEMBL1399,Vorinostat,CHEMBL98,MCF7,C4194,C1134719
