dname_drug1,chembl_id_drug1,dname_drug2,chembl_id_drug2,cell_line_name,NCI_thesaurus_code,disease_cui
Vorinostat,CHEMBL98,methoxsalen,CHEMBL416,MCF7,C4194,C1134719
busulfan,CHEMBL820,allopurinol,CHEMBL1467,MCF7,C4194,C1134719
temozolomide,CHEMBL810,IMIQUIMOD,CHEMBL1282,HT29,C4349,C0338106
anastrozole,CHEMBL1399,allopurinol,CHEMBL1467,HT29,C4349,C0338106
celecoxib,CHEMBL118,Sunitinib,CHEMBL535,HT29,C4349,C0338106
Vorinostat,CHEMBL98,IMIQUIMOD,CHEMBL1282,HT29,C4349,C0338106
letrozole,CHEMBL1444,Ixabepilone,CHEMBL1201752,HT29,C4349,C0338106
raloxifene,CHEMBL81,anastrozole,CHEMBL1399,HT29,C4349,C0338106
Ixabepilone,CHEMBL1201752,Bortezomib,CHEMBL325041,MCF7,C4194,C1134719
Gefitinib,CHEMBL939,Dasatinib,CHEMBL1421,MCF7,C4194,C1134719
celecoxib,CHEMBL118,thalidomide,CHEMBL468,MCF7,C4194,C1134719
Sorafenib,CHEMBL1336,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
Nilotinib,CHEMBL255863,Sorafenib,CHEMBL1336,HT29,C4349,C0338106
hydroxyurea,CHEMBL467,6-Mercaptopurine,CHEMBL1425,MCF7,C4194,C1134719
celecoxib,CHEMBL118,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
Imatinib,CHEMBL941,anastrozole,CHEMBL1399,HT29,C4349,C0338106
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,busulfan,CHEMBL820,HT29,C4349,C0338106
celecoxib,CHEMBL118,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,HT29,C4349,C0338106
Sorafenib,CHEMBL1336,busulfan,CHEMBL820,MCF7,C4194,C1134719
Romidepsin,CHEMBL343448,busulfan,CHEMBL820,MCF7,C4194,C1134719
Romidepsin,CHEMBL343448,anastrozole,CHEMBL1399,HT29,C4349,C0338106
Vorinostat,CHEMBL98,Sunitinib,CHEMBL535,A549,C3512,C0152013
temozolomide,CHEMBL810,IMIQUIMOD,CHEMBL1282,MCF7,C4194,C1134719
busulfan,CHEMBL820,Bortezomib,CHEMBL325041,HT29,C4349,C0338106
anastrozole,CHEMBL1399,Nilotinib,CHEMBL255863,MCF7,C4194,C1134719
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,IMIQUIMOD,CHEMBL1282,MCF7,C4194,C1134719
Lapatinib,CHEMBL554,busulfan,CHEMBL820,MCF7,C4194,C1134719
Romidepsin,CHEMBL343448,IMIQUIMOD,CHEMBL1282,HT29,C4349,C0338106
thalidomide,CHEMBL468,Bortezomib,CHEMBL325041,MCF7,C4194,C1134719
Dasatinib,CHEMBL1421,Sorafenib,CHEMBL1336,HT29,C4349,C0338106
temozolomide,CHEMBL810,Imatinib,CHEMBL941,HT29,C4349,C0338106
letrozole,CHEMBL1444,Romidepsin,CHEMBL343448,MCF7,C4194,C1134719
anastrozole,CHEMBL1399,thalidomide,CHEMBL468,HT29,C4349,C0338106
Sorafenib,CHEMBL1336,anastrozole,CHEMBL1399,HT29,C4349,C0338106
Vorinostat,CHEMBL98,allopurinol,CHEMBL1467,MCF7,C4194,C1134719
hydroxyurea,CHEMBL467,6-Mercaptopurine,CHEMBL1425,HT29,C4349,C0338106
thalidomide,CHEMBL468,ifosfamide,CHEMBL1024,HT29,C4349,C0338106
anastrozole,CHEMBL1399,6-Mercaptopurine,CHEMBL1425,MCF7,C4194,C1134719
celecoxib,CHEMBL118,Lapatinib,CHEMBL554,MCF7,C4194,C1134719
raloxifene,CHEMBL81,Nilotinib,CHEMBL255863,MCF7,C4194,C1134719
temozolomide,CHEMBL810,anastrozole,CHEMBL1399,HT29,C4349,C0338106
Sorafenib,CHEMBL1336,methoxsalen,CHEMBL416,HT29,C4349,C0338106
Vorinostat,CHEMBL98,methoxsalen,CHEMBL416,HT29,C4349,C0338106
raloxifene,CHEMBL81,Romidepsin,CHEMBL343448,HT29,C4349,C0338106
temozolomide,CHEMBL810,Vorinostat,CHEMBL98,MCF7,C4194,C1134719
raloxifene,CHEMBL81,Vismodegib,CHEMBL473417,HT29,C4349,C0338106
temozolomide,CHEMBL810,Sorafenib,CHEMBL1336,MCF7,C4194,C1134719
Sorafenib,CHEMBL1336,IMIQUIMOD,CHEMBL1282,MCF7,C4194,C1134719
busulfan,CHEMBL820,IMIQUIMOD,CHEMBL1282,MCF7,C4194,C1134719
5-Fluorouracil,CHEMBL185,6-Thioguanine,CHEMBL727,MCF7,C4194,C1134719
Vorinostat,CHEMBL98,Sorafenib,CHEMBL1336,A549,C3512,C0152013
celecoxib,CHEMBL118,anastrozole,CHEMBL1399,HT29,C4349,C0338106
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,ifosfamide,CHEMBL1024,MCF7,C4194,C1134719
letrozole,CHEMBL1444,6-Mercaptopurine,CHEMBL1425,MCF7,C4194,C1134719
mitoxantrone,CHEMBL58,Dasatinib,CHEMBL1421,A549,C3512,C0152013
Nilotinib,CHEMBL255863,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,HT29,C4349,C0338106
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,thalidomide,CHEMBL468,MCF7,C4194,C1134719
Romidepsin,CHEMBL343448,methoxsalen,CHEMBL416,HT29,C4349,C0338106
Dasatinib,CHEMBL1421,Lapatinib,CHEMBL554,MCF7,C4194,C1134719
letrozole,CHEMBL1444,thalidomide,CHEMBL468,HT29,C4349,C0338106
temozolomide,CHEMBL810,6-Mercaptopurine,CHEMBL1425,MCF7,C4194,C1134719
celecoxib,CHEMBL118,allopurinol,CHEMBL1467,HT29,C4349,C0338106
Romidepsin,CHEMBL343448,Ixabepilone,CHEMBL1201752,HT29,C4349,C0338106
raloxifene,CHEMBL81,5-Fluorouracil,CHEMBL185,HT29,C4349,C0338106
Sorafenib,CHEMBL1336,allopurinol,CHEMBL1467,HT29,C4349,C0338106
6-Mercaptopurine,CHEMBL1425,busulfan,CHEMBL820,MCF7,C4194,C1134719
raloxifene,CHEMBL81,thalidomide,CHEMBL468,MCF7,C4194,C1134719
thalidomide,CHEMBL468,Ixabepilone,CHEMBL1201752,HT29,C4349,C0338106
busulfan,CHEMBL820,ifosfamide,CHEMBL1024,MCF7,C4194,C1134719
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,anastrozole,CHEMBL1399,HT29,C4349,C0338106
Ixabepilone,CHEMBL1201752,Bortezomib,CHEMBL325041,HT29,C4349,C0338106
Nilotinib,CHEMBL255863,thalidomide,CHEMBL468,MCF7,C4194,C1134719
Vorinostat,CHEMBL98,Dasatinib,CHEMBL1421,HT29,C4349,C0338106
anastrozole,CHEMBL1399,Romidepsin,CHEMBL343448,MCF7,C4194,C1134719
methoxsalen,CHEMBL416,IMIQUIMOD,CHEMBL1282,HT29,C4349,C0338106
Imatinib,CHEMBL941,Nilotinib,CHEMBL255863,MCF7,C4194,C1134719
raloxifene,CHEMBL81,thalidomide,CHEMBL468,HT29,C4349,C0338106
raloxifene,CHEMBL81,allopurinol,CHEMBL1467,HT29,C4349,C0338106
Romidepsin,CHEMBL343448,busulfan,CHEMBL820,HT29,C4349,C0338106
